Account Description,Debit Amount,Credit Amount,Donors,date
ROS Donors,783.00000,40.00000,743.00,2021-10-01
JT Donors,746.00000,0.00000,746.00,2021-04-01
JT Donors,752.00000,0.00000,752.00,2021-06-01
Carlsbad Donors,753.00000,0.00000,753.00,2024-05-01
Espanola Donors,754.00000,0.00000,754.00,2024-04-01
ROS Donors,772.00000,0.00000,772.00,2021-09-01
JT Donors,774.00000,0.00000,774.00,2021-03-01
Espanola Donors,775.00000,0.00000,775.00,2022-08-01
Espanola Donors,780.00000,0.00000,780.00,2022-03-01
ROS Donors,782.00000,0.00000,782.00,2021-04-01
Espanola Donors,783.00000,0.00000,783.00,2021-12-01
ROS Donors,799.00000,0.00000,799.00,2020-02-01
Donors - GoodDeeds,800.00000,0.00000,800.00,2020-07-01
JT Donors,804.00000,0.00000,804.00,2021-07-01
ROS Donors,824.00000,0.00000,824.00,2020-09-01
Espanola Donors,828.00000,0.00000,828.00,2024-05-01
Espanola Donors,833.00000,0.00000,833.00,2024-03-01
Copper Donors,833.00000,0.00000,833.00,2024-03-01
JT Donors,839.00000,0.00000,839.00,2020-12-01
Copper Donors,840.00000,0.00000,840.00,2024-02-01
RB Donors,840.00000,0.00000,840.00,2020-03-01
ROS Donors,841.00000,0.00000,841.00,2022-04-01
ROS Donors,844.00000,0.00000,844.00,2020-12-01
Espanola Donors,847.00000,0.00000,847.00,2024-02-01
ROS Donors,848.00000,0.00000,848.00,2019-04-01
ROS Donors,848.00000,0.00000,848.00,2019-09-01
ROS Donors,848.00000,0.00000,848.00,2021-01-01
CLV Donors,848.00000,0.00000,848.00,2023-02-01
JT Donors,850.00000,0.00000,850.00,2021-01-01
LL Donors,851.00000,0.00000,851.00,2020-05-01
Espanola Donors,856.00000,0.00000,856.00,2022-12-01
ROS Donors,858.00000,0.00000,858.00,2019-08-01
JT Donors,863.00000,0.00000,863.00,2021-05-01
ROS Donors,867.00000,0.00000,867.00,2021-11-01
CLV Donors,869.00000,0.00000,869.00,2021-02-01
FRM Donors,"4,480.00000",0.00000,"4,480.00",
LL Donors,869.00000,0.00000,869.00,2019-01-01
FRM Donors,"4,403.00000",0.00000,"4,403.00",
FRM Donors,"4,486.00000",0.00000,"4,486.00",
Espanola Donors,890.00000,0.00000,890.00,2022-10-01
PDN Donors,"4,784.00000",0.00000,"4,784.00",
ROS Donors,904.00000,0.00000,904.00,2021-03-01
ROS Donors,906.00000,0.00000,906.00,2019-11-01
Copper Donors,907.00000,0.00000,907.00,2024-04-01
PDN Donors,"4,253.00000",0.00000,"4,253.00",
LL Donors,910.00000,0.00000,910.00,2019-04-01
ROS Donors,915.00000,0.00000,915.00,2019-02-01
CLV Donors,918.00000,0.00000,918.00,2020-02-01
ROS Donors,920.00000,0.00000,920.00,2019-10-01
Espanola Donors,924.00000,0.00000,924.00,2024-01-01
ECM Donors,1.00000,0.00000,1.00,
ECM Donors,42.00000,0.00000,42.00,
ROS Donors,926.00000,0.00000,926.00,2020-08-01
CLV Donors,934.00000,0.00000,934.00,2019-02-01
CLV Donors,936.00000,0.00000,936.00,2024-02-01
Espanola Donors,938.00000,0.00000,938.00,2023-12-01
JT Donors,951.00000,0.00000,951.00,2020-08-01
CLV Donors,953.00000,0.00000,953.00,2022-04-01
CLV Donors,955.00000,0.00000,955.00,2021-11-01
JT Donors,959.00000,0.00000,959.00,2020-10-01
ROS Donors,961.00000,0.00000,961.00,2022-05-01
Lomas Donors,961.00000,0.00000,961.00,2023-11-01
Home Pickup and Community Works Donors,71.00000,0.00000,71.00,
Home Pickup and Community Works Donors,72.00000,0.00000,72.00,
Home Pickup and Community Works Donors,66.00000,0.00000,66.00,
Home Pickup and Community Works Donors,75.00000,0.00000,75.00,
ROS Donors,964.00000,0.00000,964.00,2023-02-01
ROS Donors,966.00000,0.00000,966.00,2019-05-01
ROS Donors,971.00000,0.00000,971.00,2019-01-01
Espanola Donors,971.00000,0.00000,971.00,2023-01-01
CLV Donors,981.00000,0.00000,981.00,2022-02-01
GLP Donors,982.00000,0.00000,982.00,2020-11-01
ROS Donors,983.00000,0.00000,983.00,2022-08-01
ROS Donors,985.00000,0.00000,985.00,2019-06-01
ROS Donors,985.00000,0.00000,985.00,2022-02-01
LL Donors,987.00000,0.00000,987.00,2019-03-01
CLV Donors,988.00000,0.00000,988.00,2023-10-01
CLV Donors,989.00000,0.00000,989.00,2022-08-01
CLV Donors,992.00000,0.00000,992.00,2024-04-01
ROS Donors,992.00000,0.00000,992.00,2021-05-01
ROS Donors,999.00000,0.00000,999.00,2019-12-01
Copper Donors,544.00000,0.00000,544.00,
LL Donors,999.00000,0.00000,999.00,2019-08-01
ROS Donors,"1,000.00000",0.00000,"1,000.00",2020-07-01
GLP Donors,"1,003.00000",0.00000,"1,003.00",2020-03-01
LL Donors,"1,005.00000",0.00000,"1,005.00",2019-11-01
Carlsbad Donors,343.00000,0.00000,343.00,
LL Donors,"1,014.00000",0.00000,"1,014.00",2019-09-01
SM Donors,"4,273.00000",0.00000,"4,273.00",
CLV Donors,"1,019.00000",0.00000,"1,019.00",2022-11-01
SM Donors,"4,545.00000",0.00000,"4,545.00",
CLV Donors,"1,020.00000",0.00000,"1,020.00",2019-03-01
SM Donors,"4,641.00000",0.00000,"4,641.00",
SM Donors,"4,658.00000",0.00000,"4,658.00",
SM Donors,"4,735.00000",0.00000,"4,735.00",
SM Donors,"4,867.00000",0.00000,"4,867.00",
SM Donors,"4,707.00000",0.00000,"4,707.00",
SM Donors,"4,250.00000",0.00000,"4,250.00",
SM Donors,"4,263.00000",0.00000,"4,263.00",
ROS Donors,"1,023.00000",0.00000,"1,023.00",2019-03-01
ROS Donors,"1,024.00000",0.00000,"1,024.00",2021-07-01
Espanola Donors,"1,024.00000",0.00000,"1,024.00",2023-03-01
SM Donors,"6,178.00000",0.00000,"6,178.00",
SM Donors,"6,306.00000",0.00000,"6,306.00",
SM Donors,"28,119.00000",0.00000,"28,119.00",
SM Donors,"5,302.00000",0.00000,"5,302.00",
SM Donors,"5,203.00000",0.00000,"5,203.00",
CLV Donors,"1,026.00000",0.00000,"1,026.00",2024-03-01
Lomas Donors,"1,026.00000",0.00000,"1,026.00",2023-08-01
SM Donors,"4,727.00000",0.00000,"4,727.00",
Copper Donors,"1,031.00000",0.00000,"1,031.00",2024-05-01
LL Donors,"1,031.00000",0.00000,"1,031.00",2019-07-01
SM Donors,"5,259.00000",0.00000,"5,259.00",
SM Donors,"4,552.00000",0.00000,"4,552.00",
SM Donors,"4,381.00000",0.00000,"4,381.00",
SM Donors,"6,699.00000",0.00000,"6,699.00",
SM Donors,"5,013.00000",0.00000,"5,013.00",
SM Donors,"4,397.00000",0.00000,"4,397.00",
SM Donors,"5,401.00000",150.00000,"5,251.00",
SM Donors,"4,810.00000",0.00000,"4,810.00",
SM Donors,"5,993.00000",0.00000,"5,993.00",
SM Donors,"7,027.00000",0.00000,"7,027.00",
SM Donors,"5,476.00000",0.00000,"5,476.00",
SM Donors,"6,092.00000",0.00000,"6,092.00",
ROS Donors,"1,033.00000",0.00000,"1,033.00",2021-06-01
CLV Donors,"1,033.00000",0.00000,"1,033.00",2019-10-01
CLV Donors,"1,068.00000",35.00000,"1,033.00",2021-10-01
SM Donors,"5,311.00000",0.00000,"5,311.00",
SM Donors,"4,528.00000",0.00000,"4,528.00",
SM Donors,"4,442.00000",0.00000,"4,442.00",
SM Donors,"4,406.00000",0.00000,"4,406.00",
CLV Donors,"1,033.00000",0.00000,"1,033.00",2022-05-01
LL Donors,"1,036.00000",0.00000,"1,036.00",2019-12-01
LL Donors,"1,037.00000",0.00000,"1,037.00",2019-06-01
CLV Donors,"1,041.00000",0.00000,"1,041.00",2022-10-01
SM Donors,"4,378.00000",0.00000,"4,378.00",
SM Donors,"4,504.00000",0.00000,"4,504.00",
SM Donors,"4,970.00000",0.00000,"4,970.00",
SM Donors,"4,432.00000",0.00000,"4,432.00",
SM Donors,"4,264.00000",0.00000,"4,264.00",
SM Donors,"4,216.00000",0.00000,"4,216.00",
Donors - GoodDeeds,"1,043.00000",0.00000,"1,043.00",2019-01-01
Donors - GoodDeeds,"1,043.00000",0.00000,"1,043.00",2020-01-01
Donors - GoodDeeds,"1,050.00000",0.00000,"1,050.00",2019-02-01
ROS Donors,"1,051.00000",0.00000,"1,051.00",2023-09-01
JT Donors,579.00000,0.00000,579.00,
JT Donors,427.00000,0.00000,427.00,
JT Donors,544.00000,0.00000,544.00,
JT Donors,428.00000,0.00000,428.00,
JT Donors,520.00000,0.00000,520.00,
JT Donors,474.00000,0.00000,474.00,
JT Donors,535.00000,0.00000,535.00,
JT Donors,571.00000,0.00000,571.00,
JT Donors,471.00000,0.00000,471.00,
JT Donors,494.00000,0.00000,494.00,
JT Donors,496.00000,0.00000,496.00,
JT Donors,510.00000,0.00000,510.00,
JT Donors,559.00000,0.00000,559.00,
CLV Donors,"1,051.00000",0.00000,"1,051.00",2019-04-01
JT Donors,252.00000,0.00000,252.00,
JT Donors,554.00000,0.00000,554.00,
ROS Donors,"1,053.00000",0.00000,"1,053.00",2022-06-01
CLV Donors,"1,054.00000",0.00000,"1,054.00",2021-04-01
Lomas Donors,"1,054.00000",0.00000,"1,054.00",2023-09-01
JT Donors,595.00000,0.00000,595.00,
CLV Donors,"1,056.00000",0.00000,"1,056.00",2024-01-01
JT Donors,88.00000,0.00000,88.00,
ROS Donors,"1,056.00000",0.00000,"1,056.00",2022-09-01
ROS Donors,"1,058.00000",0.00000,"1,058.00",2024-04-01
JT Donors,604.00000,0.00000,604.00,
LL Donors,"1,058.00000",0.00000,"1,058.00",2019-10-01
CLV Donors,"1,061.00000",0.00000,"1,061.00",2021-12-01
CLV Donors,"1,062.00000",0.00000,"1,062.00",2021-06-01
ALA Donors,"1,062.00000",0.00000,"1,062.00",2020-03-01
ROS Donors,"1,064.00000",0.00000,"1,064.00",2024-02-01
JT Donors,700.00000,0.00000,700.00,
JT Donors,566.00000,0.00000,566.00,
RB Donors,"1,064.00000",0.00000,"1,064.00",2020-05-01
CLV Donors,"1,064.00000",0.00000,"1,064.00",2023-04-01
ROS Donors,"1,066.00000",0.00000,"1,066.00",2024-05-01
LL Donors,"1,079.00000",0.00000,"1,079.00",2024-02-01
CER Donors,"4,192.00000",0.00000,"4,192.00",
CLV Donors,"1,079.00000",0.00000,"1,079.00",2023-09-01
CLV Donors,"1,081.00000",0.00000,"1,081.00",2019-11-01
CLV Donors,"1,083.00000",0.00000,"1,083.00",2022-12-01
CLV Donors,"1,084.00000",0.00000,"1,084.00",2022-09-01
CLV Donors,"1,085.00000",0.00000,"1,085.00",2024-05-01
SM Donors,"1,085.00000",0.00000,"1,085.00",2022-05-01
CLV Donors,"1,085.00000",0.00000,"1,085.00",2020-08-01
LL Donors,"1,087.00000",0.00000,"1,087.00",2022-11-01
Espanola Donors,"1,089.00000",0.00000,"1,089.00",2022-07-01
CLV Donors,"1,093.00000",0.00000,"1,093.00",2023-01-01
Espanola Donors,"1,096.00000",0.00000,"1,096.00",2023-04-01
CER Donors,"4,529.00000",0.00000,"4,529.00",
CER Donors,"4,228.00000",0.00000,"4,228.00",
CER Donors,"4,993.00000",0.00000,"4,993.00",
ROS Donors,"1,097.00000",0.00000,"1,097.00",2019-07-01
CLV Donors,"1,101.00000",0.00000,"1,101.00",2022-06-01
CLV Donors,"1,101.00000",0.00000,"1,101.00",2023-12-01
LL Donors,"1,102.00000",0.00000,"1,102.00",2022-09-01
CLV Donors,"1,103.00000",0.00000,"1,103.00",2023-11-01
ROS Donors,"1,105.00000",0.00000,"1,105.00",2024-03-01
ALA Donors,"1,109.00000",0.00000,"1,109.00",2020-11-01
JT Donors,"1,110.00000",0.00000,"1,110.00",2020-06-01
ROS Donors,"1,114.00000",0.00000,"1,114.00",2021-08-01
LL Donors,"1,114.00000",0.00000,"1,114.00",2019-05-01
CLV Donors,"1,116.00000",0.00000,"1,116.00",2020-07-01
CLV Donors,"1,117.00000",0.00000,"1,117.00",2021-09-01
BN Donors,"1,117.00000",0.00000,"1,117.00",2021-10-01
ROS Donors,"1,119.00000",0.00000,"1,119.00",2022-01-01
RB Donors,"1,121.00000",0.00000,"1,121.00",2019-02-01
CLV Donors,"1,122.00000",0.00000,"1,122.00",2020-12-01
Donors - GoodDeeds,"1,122.00000",0.00000,"1,122.00",2019-12-01
ROS Donors,"1,124.00000",0.00000,"1,124.00",2020-06-01
ROS Donors,"1,127.00000",0.00000,"1,127.00",2020-01-01
CLV Donors,"1,127.00000",0.00000,"1,127.00",2023-03-01
CER Donors,"6,185.00000",0.00000,"6,185.00",
RB Donors,"1,129.00000",0.00000,"1,129.00",2019-06-01
CLV Donors,"1,131.00000",0.00000,"1,131.00",2021-05-01
JT Donors,"1,143.00000",0.00000,"1,143.00",2020-07-01
Espanola Donors,"1,146.00000",0.00000,"1,146.00",2023-06-01
CLV Donors,"1,149.00000",0.00000,"1,149.00",2021-03-01
Donors - GoodDeeds,"1,149.00000",0.00000,"1,149.00",2020-03-01
Espanola Donors,"1,149.00000",0.00000,"1,149.00",2023-05-01
GLP Donors,"1,150.00000",0.00000,"1,150.00",2019-02-01
LL Donors,"1,151.00000",0.00000,"1,151.00",2020-01-01
BN Donors,"1,157.00000",0.00000,"1,157.00",2021-08-01
CLV Donors,"1,161.00000",0.00000,"1,161.00",2019-06-01
LL Donors,"1,166.00000",0.00000,"1,166.00",2022-12-01
Lomas Donors,"1,169.00000",0.00000,"1,169.00",2024-02-01
ROS Donors,"1,174.00000",0.00000,"1,174.00",2021-12-01
CLV Donors,"1,175.00000",0.00000,"1,175.00",2023-05-01
Espanola Donors,"1,178.00000",0.00000,"1,178.00",2023-11-01
ROS Donors,"1,190.00000",0.00000,"1,190.00",2023-10-01
CLV Donors,"1,192.00000",0.00000,"1,192.00",2019-01-01
CLV Donors,"1,192.00000",0.00000,"1,192.00",2020-01-01
ROS Donors,"1,194.00000",0.00000,"1,194.00",2023-04-01
LL Donors,"1,197.00000",0.00000,"1,197.00",2023-11-01
Donors - GoodDeeds,"1,201.00000",0.00000,"1,201.00",2019-05-01
LL Donors,"1,203.00000",0.00000,"1,203.00",2024-03-01
CLV Donors,"1,204.00000",0.00000,"1,204.00",2020-06-01
Lomas Donors,"1,205.00000",0.00000,"1,205.00",2023-10-01
RR Donors,"4,176.00000",0.00000,"4,176.00",
CLV Donors,"1,208.00000",0.00000,"1,208.00",2021-01-01
CLV Donors,"1,208.00000",0.00000,"1,208.00",2022-01-01
ROS Donors,"1,212.00000",0.00000,"1,212.00",2022-03-01
CLV Donors,"1,220.00000",0.00000,"1,220.00",2023-07-01
RR Donors,"7,326.00000",0.00000,"7,326.00",
RR Donors,"4,419.00000",0.00000,"4,419.00",
ROS Donors,"1,221.00000",0.00000,"1,221.00",2022-11-01
ROS Donors,"1,224.00000",0.00000,"1,224.00",2023-12-01
Lomas Donors,"1,225.00000",0.00000,"1,225.00",2024-03-01
RR Donors,"4,866.00000",0.00000,"4,866.00",
RR Donors,"4,299.00000",0.00000,"4,299.00",
LL Donors,"1,225.00000",0.00000,"1,225.00",2022-10-01
ROS Donors,"1,226.00000",0.00000,"1,226.00",2023-08-01
ROS Donors,"1,227.00000",0.00000,"1,227.00",2022-10-01
Lomas Donors,"1,227.00000",0.00000,"1,227.00",2023-12-01
ROS Donors,"1,228.00000",0.00000,"1,228.00",2022-12-01
ROS Donors,"1,235.00000",0.00000,"1,235.00",2023-03-01
CLV Donors,"1,239.00000",0.00000,"1,239.00",2022-07-01
RB Donors,"1,252.00000",0.00000,"1,252.00",2020-02-01
CLV Donors,"1,256.00000",0.00000,"1,256.00",2021-08-01
RR Donors,"4,158.00000",0.00000,"4,158.00",
RR Donors,"4,717.00000",0.00000,"4,717.00",
RR Donors,"5,390.00000",0.00000,"5,390.00",
RR Donors,"4,808.00000",0.00000,"4,808.00",
ROS Donors,"1,260.00000",0.00000,"1,260.00",2023-05-01
CLV Donors,"1,263.00000",0.00000,"1,263.00",2019-05-01
ROS Donors,"1,266.00000",0.00000,"1,266.00",2023-07-01
RB Donors,"1,280.00000",0.00000,"1,280.00",2019-05-01
ROS Donors,"1,281.00000",0.00000,"1,281.00",2023-11-01
RB Donors,"1,287.00000",0.00000,"1,287.00",2019-04-01
CLV Donors,"1,289.00000",0.00000,"1,289.00",2023-08-01
CLV Donors,"1,293.00000",0.00000,"1,293.00",2022-03-01
CLV Donors,"1,295.00000",0.00000,"1,295.00",2019-07-01
LL Donors,"1,304.00000",0.00000,"1,304.00",2023-08-01
LL Donors,"1,305.00000",0.00000,"1,305.00",2022-05-01
GLP Donors,"1,306.00000",0.00000,"1,306.00",2020-06-01
Espanola Donors,"1,311.00000",0.00000,"1,311.00",2023-10-01
CLV Donors,"1,316.00000",0.00000,"1,316.00",2023-06-01
RB Donors,"1,322.00000",0.00000,"1,322.00",2019-01-01
CLV Donors,"1,324.00000",0.00000,"1,324.00",2019-08-01
Espanola Donors,"1,335.00000",0.00000,"1,335.00",2023-07-01
LL Donors,"1,336.00000",0.00000,"1,336.00",2022-04-01
ROS Donors,"1,342.00000",0.00000,"1,342.00",2023-06-01
Donors - GoodDeeds,"1,345.00000",0.00000,"1,345.00",2019-11-01
LL Donors,"1,359.00000",0.00000,"1,359.00",2021-04-01
RR Donors,"4,393.00000",0.00000,"4,393.00",
LL Donors,"1,363.00000",0.00000,"1,363.00",2024-05-01
Donors - GoodDeeds,"1,363.00000",0.00000,"1,363.00",2020-06-01
RB Donors,"1,366.00000",0.00000,"1,366.00",2019-07-01
LL Donors,"1,369.00000",0.00000,"1,369.00",2023-09-01
LL Donors,"1,373.00000",0.00000,"1,373.00",2024-04-01
LL Donors,"1,374.00000",0.00000,"1,374.00",2023-10-01
ROS Donors,"1,377.00000",0.00000,"1,377.00",2023-01-01
Donors - GoodDeeds,"1,389.00000",0.00000,"1,389.00",2019-09-01
ROS Donors,"1,402.00000",0.00000,"1,402.00",2024-01-01
RB Donors,"1,403.00000",0.00000,"1,403.00",2019-10-01
CLV Donors,"1,409.00000",0.00000,"1,409.00",2021-07-01
LL Donors,"1,414.00000",0.00000,"1,414.00",2021-02-01
LL Donors,"1,415.00000",0.00000,"1,415.00",2022-06-01
CLV Donors,"1,429.00000",0.00000,"1,429.00",2019-12-01
LL Donors,"1,432.00000",0.00000,"1,432.00",2021-10-01
LL Donors,"1,432.00000",0.00000,"1,432.00",2022-08-01
LL Donors,"1,448.00000",0.00000,"1,448.00",2023-03-01
LL Donors,"1,453.00000",0.00000,"1,453.00",2024-01-01
LL Donors,"1,458.00000",0.00000,"1,458.00",2021-11-01
Espanola Donors,"1,470.00000",0.00000,"1,470.00",2023-09-01
Donors - GoodDeeds,"1,479.00000",0.00000,"1,479.00",2019-06-01
LL Donors,"1,497.00000",0.00000,"1,497.00",2023-07-01
CC Donors,"5,131.00000",0.00000,"5,131.00",
LL Donors,"1,499.00000",0.00000,"1,499.00",2021-03-01
FRM Donors,"1,503.00000",0.00000,"1,503.00",2020-11-01
RB Donors,"1,511.00000",0.00000,"1,511.00",2019-03-01
Lomas Donors,"1,513.00000",0.00000,"1,513.00",2024-01-01
Donors - GoodDeeds,"1,514.00000",0.00000,"1,514.00",2019-04-01
Espanola Donors,"1,527.00000",0.00000,"1,527.00",2023-08-01
LL Donors,"1,532.00000",0.00000,"1,532.00",2023-12-01
CLV Donors,"1,534.00000",0.00000,"1,534.00",2019-09-01
GLP Donors,"1,544.00000",0.00000,"1,544.00",2019-01-01
RB Donors,"1,545.00000",0.00000,"1,545.00",2019-12-01
CC Donors,"4,215.00000",0.00000,"4,215.00",
GLP Donors,"1,552.00000",0.00000,"1,552.00",2020-02-01
CC Donors,"4,482.00000",0.00000,"4,482.00",
CC Donors,"5,930.00000",0.00000,"5,930.00",
LL Donors,"1,552.00000",0.00000,"1,552.00",2022-02-01
RB Donors,"1,561.00000",0.00000,"1,561.00",2019-11-01
CC Donors,"4,816.00000",0.00000,"4,816.00",
CC Donors,"4,266.00000",0.00000,"4,266.00",
CC Donors,"4,228.00000",0.00000,"4,228.00",
RB Donors,"1,569.00000",0.00000,"1,569.00",2020-01-01
Lomas Donors,"1,581.00000",0.00000,"1,581.00",2024-04-01
LL Donors,"1,584.00000",0.00000,"1,584.00",2023-06-01
CC Donors,"4,971.00000",0.00000,"4,971.00",
CC Donors,"6,605.00000",0.00000,"6,605.00",
CC Donors,"6,998.00000",0.00000,"6,998.00",
CC Donors,"5,301.00000",0.00000,"5,301.00",
CC Donors,"4,993.00000",0.00000,"4,993.00",
CC Donors,"4,819.00000",0.00000,"4,819.00",
CC Donors,"4,181.00000",0.00000,"4,181.00",
Donors - GoodDeeds,"1,587.00000",0.00000,"1,587.00",2019-07-01
CC Donors,"4,280.00000",0.00000,"4,280.00",
ALA Donors,"1,587.00000",0.00000,"1,587.00",2020-10-01
CC Donors,"4,261.00000",0.00000,"4,261.00",
CC Donors,"4,234.00000",0.00000,"4,234.00",
CC Donors,"5,215.00000",0.00000,"5,215.00",
CC Donors,"6,036.00000",0.00000,"6,036.00",
CC Donors,"7,292.00000",0.00000,"7,292.00",
